wfo,phenomena,metric,baseline,value_2025,delta,pval,n_base,n_25,lat,lon
ABQ,TO,FAR,0.8582089552238806,0.6428571428571428,-0.21535181236673784,0.037518501384476835,134,14,35.03,-106.62
ABR,TO,FAR,0.6742424242424243,0.75,0.07575757575757569,0.4321344914930654,132,28,45.45,-98.41
AKQ,TO,FAR,0.786967418546366,0.8571428571428572,0.07017543859649122,0.44118969551745857,399,21,36.98,-77.0
AMA,TO,FAR,0.6872852233676976,0.7580645161290323,0.07077929276133466,0.26963126093169076,291,62,35.23,-101.7
ARX,TO,FAR,0.7619047619047619,0.8,0.03809523809523818,0.7055770079387772,147,20,43.82,-91.19
BGM,TO,FAR,0.8449612403100775,0.8666666666666667,0.02170542635658923,0.8249709402623975,129,15,42.21,-75.98
BIS,TO,FAR,0.7384615384615385,0.4576271186440678,-0.2808344198174707,0.00017487654421160506,130,59,46.77,-100.75
BMX,TO,FAR,0.5339366515837104,0.5319148936170213,-0.0020217579666891305,0.9789260698254675,442,47,33.17,-86.78
BOU,TO,FAR,0.7247386759581882,0.6875,-0.037238675958188194,0.6559592896162234,287,32,40.0,-105.26
BRO,TO,FAR,0.9318181818181819,0.8333333333333334,-0.09848484848484851,0.4041928685005086,44,6,25.91,-97.41
BUF,TO,FAR,0.6949152542372881,0.8,0.10508474576271198,0.6214421891295001,59,5,42.94,-78.71
CAE,TO,FAR,0.5900621118012422,0.7692307692307692,0.17916865742952692,0.2039821784479271,161,13,33.94,-81.12
CAR,TO,FAR,1.0,1.0,0.0,,11,6,45.78,-68.62
CHS,TO,FAR,0.7473684210526316,0.8571428571428572,0.10977443609022564,0.5093637157967602,190,7,32.89,-80.02
CLE,TO,FAR,0.7070063694267517,0.8571428571428572,0.15013648771610555,0.2309512118948246,157,14,41.41,-81.86
CTP,TO,FAR,0.7739130434782608,0.7857142857142857,0.011801242236024856,0.9204472655382149,115,14,40.79,-77.86
CYS,TO,FAR,0.5955056179775281,0.6428571428571428,0.04735152487961469,0.7277889820971439,178,14,41.15,-104.8
DDC,TO,FAR,0.7017543859649122,0.17647058823529416,-0.5252837977296181,9.52881894973199e-06,228,17,37.76,-99.96
DLH,TO,FAR,0.8210526315789474,0.84,0.0189473684210526,0.8244367581452017,95,25,46.83,-92.21
DMX,TO,FAR,0.6475409836065573,0.9583333333333334,0.31079234972677605,0.001754673735934207,366,24,41.73,-93.72
DTX,TO,FAR,0.7213114754098361,0.7272727272727273,0.005961251862891204,0.9675907564135102,61,11,42.68,-83.47
DVN,TO,FAR,0.6217616580310881,0.5555555555555556,-0.06620610247553249,0.43469255934709994,386,36,41.61,-90.58
EAX,TO,FAR,0.6697674418604651,0.6875,0.017732558139534893,0.8842047186618248,215,16,38.8,-94.26
EWX,TO,FAR,0.8202247191011236,0.7142857142857143,-0.1059390048154093,0.32815438417069875,178,14,29.7044,-98.0289
FFC,TO,FAR,0.6435897435897435,0.676923076923077,0.03333333333333344,0.6023126962314329,390,65,33.36,-84.56
FGF,TO,FAR,0.5158730158730158,0.5576923076923077,0.04181929181929189,0.5825189851458445,252,52,47.9219,-97.0981
FSD,TO,FAR,0.8054298642533937,0.75,-0.05542986425339369,0.5522579729061425,221,20,43.5874,-96.7297
FWD,TO,FAR,0.7331730769230769,0.6111111111111112,-0.12206196581196571,0.06042144018485756,416,54,32.8349,-97.2988
GID,TO,FAR,0.728813559322034,1.0,0.27118644067796605,0.17475893728196146,177,5,40.64,-98.38
GLD,TO,FAR,0.7468354430379747,0.7027027027027026,-0.044132740335272036,0.5568858415676348,395,37,39.36,-101.7
GRB,TO,FAR,0.711864406779661,0.8888888888888888,0.17702448210922783,0.1272763411554652,59,18,44.49,-88.11
GRR,TO,FAR,0.8135593220338984,0.5294117647058824,-0.284147557328016,0.017130530553302936,59,17,42.89,-85.54
GSP,TO,FAR,0.8082706766917294,0.4285714285714286,-0.37969924812030076,0.013424651057215506,266,7,34.88,-82.22
HGX,TO,FAR,0.8230088495575221,0.8333333333333334,0.0103244837758113,0.926265783071739,452,12,29.47,-95.07
HUN,TO,FAR,0.7203065134099618,0.7121212121212122,-0.008185301288749613,0.8948883283066194,261,66,34.72,-86.65
ICT,TO,FAR,0.59375,0.5454545454545454,-0.048295454545454586,0.7513475388528921,192,11,37.65,-97.44
ILN,TO,FAR,0.676923076923077,0.8648648648648649,0.18794178794178795,0.018513879964276222,325,37,39.42,-83.82
ILX,TO,FAR,0.7132867132867133,0.6896551724137931,-0.023631540872920187,0.6712751813890698,286,87,40.15,-89.33
IND,TO,FAR,0.788135593220339,0.6296296296296297,-0.15850596359070934,0.014069497598314263,236,54,39.7,-86.28
IWX,TO,FAR,0.6848484848484848,0.7142857142857143,0.029437229437229484,0.8195858179891037,165,14,41.35,-85.7
JAN,TO,FAR,0.5860284605433377,0.5700000000000001,-0.01602846054333762,0.7595891659252568,773,100,32.31,-90.08
JAX,TO,FAR,0.8593350383631714,0.8125,-0.04683503836317138,0.5993895007733848,391,16,30.48,-81.7
JKL,TO,FAR,0.9620253164556962,0.8333333333333334,-0.12869198312236285,0.021386655291581978,79,30,37.59,-83.31
LBF,TO,FAR,0.6753246753246753,0.4193548387096774,-0.25596983661499795,0.006998354404335996,154,31,41.13,-100.7
LCH,TO,FAR,0.842443729903537,0.9318181818181819,0.08937445191464488,0.11019833110143347,622,44,30.12,-93.21
LIX,TO,FAR,0.836764705882353,0.7708333333333334,-0.0659313725490196,0.23720658893702928,680,48,30.33,-89.82
LMK,TO,FAR,0.767175572519084,0.6984126984126984,-0.0687628741063856,0.2552886381050634,262,63,38.11,-85.64
LOT,TO,FAR,0.6180904522613065,0.6842105263157895,0.06612007405448295,0.5697327657651856,199,19,41.6,-88.08
LSX,TO,FAR,0.7322033898305085,0.6344086021505376,-0.09779478767997085,0.07029584554441723,295,93,38.69,-90.68
LUB,TO,FAR,0.6753246753246753,0.525,-0.1503246753246753,0.07681632907858277,154,40,33.52,-101.87
LWX,TO,FAR,0.8249027237354085,0.8857142857142857,0.06081156197887716,0.36642741386050026,257,35,38.97,-77.47
LZK,TO,FAR,0.8505747126436781,0.8727272727272728,0.022152560083594675,0.5493600804313181,522,110,34.83,-92.25
MAF,TO,FAR,0.7885714285714286,0.9166666666666666,0.12809523809523804,0.2860671551865295,175,12,31.94,-102.18
MEG,TO,FAR,0.7409638554216867,0.8407643312101911,0.09980047578850437,0.010134214222950378,498,157,35.13,-89.8
MHX,TO,FAR,0.7371134020618557,1.0,0.2628865979381443,0.0934795445925013,194,8,34.77,-76.87
MKX,TO,FAR,0.7346938775510203,0.75,0.015306122448979664,0.8584750889161057,147,32,42.96,-88.54
MLB,TO,FAR,0.8555133079847909,0.8181818181818181,-0.03733148980297274,0.7311865514558988,263,11,28.11,-80.65
MOB,TO,FAR,0.7941747572815534,0.8181818181818181,0.02400706090026472,0.7402356700238792,515,33,30.67,-88.23
MPX,TO,FAR,0.6990881458966565,0.7530864197530864,0.05399827385642997,0.33747677994859804,329,81,44.849,-93.5656
MRX,TO,FAR,0.8080808080808081,0.9285714285714286,0.12049062049062054,0.1297048289843662,99,28,36.16,-83.4
OAX,TO,FAR,0.6320224719101124,0.5652173913043479,-0.06680508060576451,0.520599627769206,356,23,41.3201,-96.3672
OHX,TO,FAR,0.7752442996742671,0.8214285714285714,0.046184271754304285,0.3611190361010367,307,84,36.24,-86.56
OUN,TO,FAR,0.7711640211640212,0.8804347826086957,0.10927076144467451,0.001044523013521265,756,184,35.23,-97.46
PAH,TO,FAR,0.7142857142857143,0.6153846153846154,-0.09890109890109888,0.018847568383480985,525,156,37.06,-88.77
PBZ,TO,FAR,0.6628571428571428,0.7391304347826086,0.07627329192546584,0.46396850623717967,175,23,40.53,-80.21
PHI,TO,FAR,0.7806122448979592,0.9655172413793104,0.18490499648135117,0.019121355404998198,196,29,40.0136,-74.8174
PUB,TO,FAR,0.8326359832635983,0.9,0.06736401673640169,0.43238188688656287,239,20,38.27,-104.52
RAH,TO,FAR,0.8362989323843416,0.8235294117647058,-0.012769520619635766,0.8902947623540838,281,17,35.77,-78.68
RLX,TO,FAR,0.7865168539325843,1.0,0.2134831460674157,0.01502739222331873,89,23,38.31,-81.71
SGF,TO,FAR,0.6997518610421836,0.7101449275362319,0.010393066494048364,0.8616388980002343,403,69,37.23,-93.4
SHV,TO,FAR,0.7121212121212122,0.711340206185567,-0.0007810059356451182,0.9872075629303483,792,97,32.45,-93.84
SJT,TO,FAR,0.7415254237288136,0.8148148148148149,0.0732893910860013,0.40537816466144316,236,27,31.37,-100.49
